127.0.0.1 - - [17/Feb/2013:12:24:06 -0500] "GET /wayback/*/http://matkellyX.com HTTP/1.1" 404 3699
127.0.0.1 - - [17/Feb/2013:12:24:06 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:24:06 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:24:06 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:30:11 -0500] "GET /wayback/*/http://matkellyX.com HTTP/1.1" 404 3699
127.0.0.1 - - [17/Feb/2013:12:30:11 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:30:11 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:30:11 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:30:15 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:30:44 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:31:02 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:32:29 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:33:54 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:34:40 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:34:55 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:35:33 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:35:37 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:35:37 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:35:37 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:35:37 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:41:15 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:41:18 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:41:18 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:41:18 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:41:18 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:41:41 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:41:43 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:41:43 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:41:43 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:41:43 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:42:16 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:42:19 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:42:19 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:42:19 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:42:19 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:42:29 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:42:32 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:42:32 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:42:32 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:42:32 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:43:08 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:43:11 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:43:11 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:43:11 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:43:11 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:43:32 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:43:35 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:43:35 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:43:35 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:43:35 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:43:44 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:43:46 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
127.0.0.1 - - [17/Feb/2013:12:43:46 -0500] "GET /wayback/css/styles.css HTTP/1.1" 200 4185
127.0.0.1 - - [17/Feb/2013:12:43:46 -0500] "GET /wayback/images/wayback_logo_tr.gif HTTP/1.1" 200 2401
127.0.0.1 - - [17/Feb/2013:12:43:46 -0500] "GET /wayback/images/shim.gif HTTP/1.1" 200 43
127.0.0.1 - - [17/Feb/2013:12:43:59 -0500] "GET /wayback/ HTTP/1.1" 200 3511
127.0.0.1 - - [17/Feb/2013:12:44:02 -0500] "GET /wayback/*/http://localhost:8080/wayback/*/http://matkelly.com HTTP/1.1" 404 4027
